ID,File,Transcription,incident_type,injury_severity,victims_count,fire_present,trapped_persons,weapons_involved,hazmat_involved,intent,urgency_human,daira,commune,lieu,location_description,summary,notes_cot,is_synthetic
CALL_0210_Appe,Appelle 55.wav,"Allô? Salam. Essalam. L'protection? Oui, tfe3ed bismilah. Aya sidi, s'da s'Daira n'Sidi Aïch... l'commune n'Sidi Aïch. Berra... l'mkhrej n'l'autoroute... t7araq eddi l'jouwah d'akli. Ina-yo un poteau ch3el di-as l'tmess... m'chaknigh mlih... c'est un début. Ma3lish, at-send-egh l'group. At-send-egh? Okay. Saha tnemirt.",other,none,1.0,yes,no,no,no,report_incident,medium,Sidi Aïch,Sidi Aïch,Sortie de l'autoroute,"jiha sidi aich ,mekhrej n lautouroute",Signalement d'un poteau électrique en feu à la sortie de l'autoroute de Sidi Aïch.,L'appelant utilise 't7araq' (brûle) et 'ch3el' (allumé/en feu) concernant un 'poteau'. Il précise la localisation 'mkhrej n'l'autoroute' (sortie de l'autoroute) à Sidi Aïch. L'incident est classé 'other' car il s'agit d'une infrastructure électrique.,False
CALL_0212_Appe,Appelle 88.wav,"Allo? Allo? l'madania? ness3a yiwn omotin yeghli ayi wahi squat l'quartier Aghuladh, rapider un peu. Anwa squar? Aghuladh, la gendarmerie l'guedgued. Wush la commune? Bgayet? Ay la commune Bgayet, ih. Aghulan nni la gendarmerie? Ih, la gendarmerie El Khemis. Ah, la gendarmerie l'Khemis, ih. Shu n twala? Samot? Taqshisht teghli? Ayya d'accord. Ats t-trufedet... Sub7anallah...",accident_vehicular,unknown,1.0,no,no,no,no,report_incident,high,Béjaïa,Béjaïa,Quartier squar,"dakhil l'quartier squar, la gendarmerie El Khemis","Signalement d'un accident mortel impliquant une moto et une jeune fille dans le quartier  squar à Béjaïa, près de la gendarmerie El Khemis.",L'appelant utilise 'accident mortel' d'emblée. Le terme 'samot' (la moto) et 'taqshisht teghli' (la fille est tombée) indiquent un accident de deux-roues. Le lieu est précisé par ' squar' et le point de repère 'gendarmerie El Khemis'.,False
CALL_0209_Appe,Appelle 26.wav,"Allo? Allo oui. Salam alikum, les pompiers ? Na3am. Agd3ani... mayla d amkan... El Kseur ? El Kseur a kham, d niméro n l'Kseur la yessis. Agd3ani... marki n-niméro. 034 82 35 65. Ya3tik el sa7a, sa7it, sa7a.",unknown,unknown,,unknown,unknown,unknown,unknown,request_help,low,El Kseur,El Kseur,Inconnu,Inconnu,L'appelant contacte les secours pour obtenir le numéro de téléphone direct de la protection civile d'El Kseur. L'agent lui dicte le numéro.,L'appelant demande confirmation du secteur géographique ('mayla d amkan El Kseur'). L'agent comprend qu'il cherche à joindre l'unité locale et lui communique un numéro de ligne fixe (034 82 35 65). Aucun incident spécifique n'est rapporté.,False
CALL_0209_Appe,Appelle 42.wav,"Agent: Allo? Appelant: Salam Alaykoum. Agent: Wa Alaykoum Salam, les pompiers. An3am. Appelant:theghli yiwth teqchichth dayi une3lim ma theder negh thmeouth gl'gare routière. Agent: Aqlagh nttedud. Appelant: Saha, saha. Agent: An3am. Appelant: Allo, oui. Agent: An3am. Appelant: Allo, el 7imaya? Agent: An3am. Agent: Aql-an s-dat la gare routière. Appelant: Ah d-en kchem, saha. Agent: An3am.",medical_emergency,severe,1.0,unknown,unknown,no,no,report_incident,high,Béjaïa,Béjaïa,(au-dessus de la gare routière),f l'gare routière,L'appelant signale un événement indéterminé dans le quartier (taddart) situé au-dessus de la gare routière. Les pompiers indiquent être déjà sur place au niveau de Dardis.,"L'appelant utilise 'taddart' pour désigner le quartier/village et 'l'gare routière'. L'agent mentionne 'Dardis', un point de repère iconique près de la gare routière de Béjaïa. Le type d'incident n'est pas explicité (pas de mot comme l7riq ou accident), l'appelant dit juste 'voyez ce qu'il y a'.",False
CALL_0212_Appe,Appelle 69.wav,"Allo... Allo... Protection civile de Bgayet... S'il vous plaît... akihrez rebi lu3andtura yieth teqchichth theghli dayi g saha tifri? At-teddund?ttedud lambulance.. Ih. dina g Amriw... ngh 4 chemain. D'accord, n-at-nawi g'Amriw... allo? G'Amriw negh kachma? Amriw negh kachma? Awa, sserw-as-nn walou.",medical_emergency,unknown,1.0,yes,unknown,no,no,report_incident,high,Béjaïa,Béjaïa,saha tifri,saha tifri,"Une femme appelle en urgence pour signaler un incendie (theghli) à saha tifri. Le répartiteur organise l'envoi d'une ambulance et de pompiers, mentionnant l'évacuation vers Amriw.",L'appelante utilise 'tghli' (elle est tomber) pour signaler un incendie à saha tifri ( à Béjaïa),False
CALL_0208_Appe,Appelle 15.wav,"Alo, 3andna... 3andna wasmou wa7ed crise cardiaque walla... l'mir postal ta3 Souq n Tnine. Souq n Tnine? At-tek n-numéro ta3 Souq n Tnine. Hak Bejaia, markit 3andek. Eh d'accord. 034... 034... 09... 09... 36... 36... 13. 13. Saha, saha.",medical_emergency,severe,1.0,no,no,no,no,request_help,critical,Souk El Tenine,Souk El Tenine,souq tnin,l'mir postal ta3 Souq n Tnine,L'appelant signale une personne faisant une crise cardiaque à proximité de la poste de Souk El Tenine. L'opérateur lui transmet le numéro de téléphone direct de l'unité locale.,L'appelant mentionne explicitement 'crise cardiaque' (medical_emergency) et 'wa7ed' (une victime). La localisation est précise : 'l'mir postal' (probablement l'agence postale ou mairie/poste) à 'Souq n Tnine'. L'opérateur de Bejaia redirige l'appelant vers l'unité locale en dictant le numéro.,False
CALL_0209_Appe,Appelle 40.wav,"Sewel, nraja n'ambulance, l'virement, l'hospitals, sbitar, ilaq-as at-tawd, sbitar... mchi tonobile mchi tonobile wala had... Allo? Ani da, d-achou ad-passu-ntichwit l'virement l'ambulance, ani da... Targa Ouzemour l'université, Asarwel, Asarwel ats-aliḍ. Ani da Sarwel at-aliḍ l'arrêt première impasse ni d-deuxième impasse... L'inter deux impasse akinna wa7... Boulkhobzani tsat' la piste ni t-saoujet la promotion n-nas... Sarwel... asdjarnin sarwel ni bedet. Wa7id ya7ia... 1st impasse after d-deuxième impasse... mchi anda la superette ni... caniboni d-ina... la promotion tamzwarut... Amrouche ni... mchi la promotion ni ats-alit d-agsum... Iqoubab? Khah mchi ats-at-aliḍ iqoubab... 500m-700m à peu près... abrid ni i-ebṭas l-kell... abrid n'l'electricité... Hanachi Ali... la famille Hanachi? Hanachi Ali... Ktef rabi, wallah azgum d-idmen mamas-ina, sbitar, c'est pas possible... mchi tonobile is3am... 5 minutes kan at-liber-em l'ambulance parce que tghared, tghared d-iseglik... liberi-nt kan l'ambulance... 07... Sdaoul iboudhouche, l7aq sdaoul iboudhouche bedet... enfaca... 5 minutes kan d-ikchem l'ambulance... achou i-youq3en? Aten-ghour ou3des-n-char apparemment, d-amqqran... wallah a3lam.",medical_emergency,severe,1.0,no,no,no,no,request_help,critical,Béjaïa,Béjaïa,Targa Ouzemour (Asarwel),"Près de l'université Targa Ouzemour, quartier Asarwel, première ou deuxième impasse après l'arrêt, près de la promotion Amrouche, chemin de l'électricité, chez la famille Hanachi Ali, secteur Boudhouche.",Demande d'ambulance urgente pour une personne blessée souffrant d'une hémorragie importante ('idmen') à Sarrwel. L'appelant précise que l'état est critique ('c'est pas possible') et refuse le transport par véhicule privé.,"L'appelant demande une ambulance ('nraja l'ambulance') et l'hôpital ('sbitar') pour une blessure grave avec beaucoup de sang ('azgum d-idmen'). La localisation est très détaillée : Targa Ouzemour, Sarrwel, et des points de repère comme 'l'université', 'l'arrêt' et des noms de familles locaux.",False
CALL_0212_Appe,Appelle 96.wav,"Allo Salamu Alaykum, l'himaya ! la3nayak thella laccident dayi d lekseur , lekseur wahid oued amizour. Ani d-exact... l'ferma pilot... daccord... l'ferme pilote. - La ferme pilote ? Ayyeh d'accord. - Aghelani la- grave ha ! - Okay, okay saha. - Saha t'ammu khoya saha, nsen aghelani grave grave n-as-t.",accident_vehicular,severe,,no,unknown,no,no,report_incident,high,El Kseur,El Kseur,La ferme pilote,"bin l'Kseur, l'ferme pilote","Signalement d'un accident grave survenu entre El Kseur , précisément au niveau de la ferme pilote.",L'appelant mentionne explicitement 'accident'. L'urgence est caractérisée par la répétition de 'aghelani' (vite) et l'adjectif 'grave'. La localisation est située entre El Kseur avec un point de repère précis : 'l'ferme pilote'.,False
CALL_0208_Appe,Appelle 9.wav,"Allo l'ambulance? Allo? Eh, ak-su l'social Ihaddaden... 3200. Social li 3200? Ah. Dachou yellan? L'bloc 93. L'bloc 93, dachou yellan, l'malade? Blessé? Amotin mlih, ay-zmer ara ad-yeddu. la grepe chghel ithitfen uzrighara Dachou! yellan ? mem  La respiration it-respirerara  mlih daccord asseyed tura sensiwlegh iued ghir aydchey3en lambulance. D'accord, d'accord . Hayya d'accord. Sahhit.",medical_emergency,severe,1.0,no,no,no,no,request_help,high,Béjaïa,Béjaïa,Ihaddaden (3200 logements),"Social li 3200, l'bloc 93","Un homme se trouvant au bloc 93 des 3200 logements à Ihaddaden est dans un état grave et ne peut plus marcher, bien qu'il respire normalement.","L'appelant signale un cas médical urgent : 'amotin mlih' (il n'est pas bien) et 'ay-zmer ara ad-yeddu' (il ne peut pas marcher). Le lieu est clairement identifié par les '3200' (logements sociaux célèbres à Béjaïa) et le quartier 'Ihaddaden'. Utilisation du code-switching typique : 'l'social', 'l'bloc', 'it-respirer' (verbe respirer conjugué au présent kabyle).",False
CALL_0212_Appe,Appelle 72.wav,"zemrem ay transportim amotin athan lcoma... l'hôpital urgence m'da l'possible ami. Ani-t tura madam? Swir... swir... Sidi Ahmed l'Es D... uksar. Sidi Ahmed? Ih Sidi Ahmed l'ED uksar. Jet... bon, l'ED abrid-nni i-ttawin n-atas s-takkser akher? U-swir qbel, l'arrêt l'ED, ṣaḥit umbe3d... l'abrid s-sekker... l'bâtiment n-uksar umbe3d s-uffegh-ara akher? A-tekchem-t a-droit. A-tekchem-t s-tekker akher... u-swir kan d-takser... l'immeuble di-swir kan d-takser. Eh, qartak-en amrad-agi inconscient yakhi? Lla unconscious... ih. D'accord madam, am-d-ncegge3 l'ambulance n-l'hôpital pas de problème, khli l'amrane. Khli l'amrane ammi. 3echyet-kan 7ad-bra... di-3as. Tura? Tura, ih. D'accord ammad, m'sa7it, pas de problème. D'accord, d'accord.",medical_emergency,severe,1.0,no,no,no,no,report_incident,high,Béjaïa,Béjaïa,Sidi Ahmed,"Sidi Ahmed l'ED, l'arrêt l'ED, qbel l'bâtiment n-uksar, a-tekchem-t a-droit","Une femme demande l'envoi d'une ambulance pour un patient inconscient situé dans le quartier de Sidi Ahmed à Béjaïa, près de l'arrêt de bus l'ED.","L'appelante utilise 'transportiw amrid-nnegh' (transportez notre malade) et demande 'l'hôpital urgence'. Elle confirme que le patient est 'inconscient'. La localisation est précisée à Sidi Ahmed (Béjaïa) avec des repères locaux : 'l'arrêt l'ED', 'l'bâtiment n-uksar' et une entrée à droite.",False
CALL_0208_Appe,Appelle 11.wav,"derapage. D'un véhicule léger. Eh, anida?. Route nationale 12. anwa Amkan? La gendarmerie l'Qsar. Eh, zath la brigade la gendarmerie. Derapage véhicule... cheye3tas l'ambulance kn ngh?  L'ambulance . D'accord, s7it.",accident_vehicular,unknown,,no,unknown,no,no,report_incident,medium,El Kseur,El Kseur,Route Nationale 12,"RN12, la gendarmerie l'Qsar, zath la brigade la gendarmerie",Signalement d'un accident (dérapage) d'un véhicule léger sur la RN12 à proximité de la brigade de gendarmerie d'El Kseur. L'appelant confirme le besoin d'une ambulance.,"L'appelant utilise 'drapage' (dérapage) et 'véhicule léger' pour désigner un accident de la route (accident_vehicular). La localisation est précise : 'Route nationale 12' et 'la gendarmerie l'Qsar' (El Kseur). La phrase 'l'ambulance thlaq' indique qu'une ambulance est nécessaire, suggérant des blessés sans en préciser la gravité.",False
CALL_0210_Appe,Appelle 47.wav,"Allo? An3am ih, dakur, dakur. ukendlu3anara dayi appartement de Tobbala. Tobbala, d-ashu ig-gellan? An3am? D-ashu ig-gellan? D-axellam it-teretqan! D-axellam it-teqran, dakur. Llan l-victimes a madame, xaṭi? An3am ih! Anayi kan i d-tuɣalegh seg l-xedma, zedghegh acote, Wahid el Moqrani? Wahid el Moqrani exactement. Eh, dakur, dakur a madame. Ok, s-avad-id d-bezzef d-l-gaz. Dakur. Zdat la promotion n l-OPGI? Ih! Ih, b-bezzef a madame. Ayya s-el-f-ṣaḥa.",fire_building,unknown,,yes,unknown,no,yes,report_incident,high,Béjaïa,Béjaïa,Tobbala,"L'appartement de Tobbala, cité Wahid el Moqrani, zdat la promotion n l'OPGI","Signalement d'une forte explosion de gaz dans un appartement à Tobbala (Béjaïa), cité Wahid el Moqrani, avec des victimes confirmées.","L'appelante utilise le terme 'axellat it-teqran' (grosse explosion/déflagration) et confirme 'l-gaz', ce qui oriente vers un accident domestique de type explosion/incendie. La mention 'Llan l-victimes' confirme la présence de blessés. Localisation précise : quartier Tobbala à Béjaïa, près de la promotion OPGI.",False
CALL_0212_Appe,Appelle 85.wav,"Salamoualikoum. Salam. An3am, aya l'accident sur l'autoroute, la nouvelle autoroute qui mène vers... Bouchelil, Bouchelil. Aqlan d-dar n'Aqbou... en face l'autoroute. Aqlant dda d-dar dda... on face normalement Akbou, mais sur la voie qui mène vers Bejaïa. Ah incha'Allah, okya. Sahit, saha. Sahit.",accident_vehicular,unknown,,unknown,unknown,no,unknown,report_incident,medium,Akbou,Akbou,La nouvelle autoroute (Pénétrante),"en face Akbou, sur la voie qui mène vers Bejaïa, près de Bouchelil","Signalement d'un accident de la circulation sur la nouvelle autoroute au niveau d'Akbou, sur la voie menant vers Béjaïa.",L'appelant utilise le terme français 'l'accident' et précise le lieu 'l'autoroute' (la pénétrante). Il donne des repères géographiques clairs : 'en face Akbou' et précise le sens de circulation 'vers Bejaïa'.,False
CALL_0209_Appe,Appelle 28.wav,"la3nayak yiwth temgharth theghli g letat civil.. L'état civil..theghli thezmir ara attedu. anta letat civil fithghareted kechi... L'état civil n Lakhmiss. Lakhmiss? Lakhmiss... Donc Rue de la Liberté akkeni? ... Rue de la Liberté... Nahj l'hourriya. An3am? Nahj l'hourriya, l'état civil. Dar l'baladiya n Lakhmiss. Ah d'accord, ok. Rue de la Liberté, okay. Rue de la Liberté, voilà, sa7it. Samarch...",medical_emergency,unknown,,no,no,no,no,report_incident,unknown,Béjaïa,Béjaïa,Lakhmiss,"L'état civil de Lakhmiss,  Rue de la Liberté (Nahj l'hourriya), Dar l'baladiya n Lakhmiss","L'appelant localise précisément un incident à l'état civil du quartier Lakhmiss à Béjaïa, mentionnant la Rue de la Liberté, sans toutefois préciser la nature de l'urgence dans cet extrait.","L'appelant répète 'L'état civil' et 'Lakhmiss' (quartier central de Béjaïa). L'opérateur confirme la 'Rue de la Liberté'. 'Nahj l'hourriya' est la traduction arabe directe. L'expression 'f l'virement' indique que c'est situé au niveau d'un virage. Pas de mots-clés type 'accident' ou 'l7riq', donc incident_type reste 'unknown'.",False
CALL_0212_Appe,Appelle 93.wav,"anwa amkan? anwaamkan, 4 chemin, daww l'pont.gachu i ithcha3l? Wah ch3al, l'appartement. Mouch n l'étage?  deuxième étage. 9ème? Yah, 9ème étage, d'accord.",fire_building,unknown,,yes,unknown,no,no,report_incident,high,Béjaïa,Béjaïa,4 chemin,"Dewwa l'pont, l'appartement au 9ème étage","Signalement d'un incendie dans un appartement situé au 9ème étage à4 chemin, à proximité du pont.",L'appelant utilise 'ch3al' (a brûlé/en feu) associé à 'l'appartement' pour désigner un feu de bâtiment. La localisation est précise : '4 chemin' et le repère 'dewwa l'pont' (sous/près du pont).,False
CALL_0208_Appe,Appelle 5.wav,"Allo? Allo an3am... Salam alaykoum. Salam alaykoum, l'pompiers nvgayeth? oui. Euh, ness3a dayi g  Beni Maouche thametoth theghlid g thzemourth umb3ad qarend lambulance wlachitt . Ah? Euh... . nchey3awend lambulance.. Beni Maouche?, Seddouk..An3am?? Seddouk, ah. D'accord, d'accord, d'accord, sahit.",medical_emergency,unknown,1.0,no,no,no,no,request_help,medium,Seddouk,Seddouk,Seddouk,L'appelant hésite entre Beni Maouche et Seddouk.,"L'appelant demande une ambulance mais semble confus ou hésitant sur la localisation exacte, mentionnant d'abord Beni Maouche avant de confirmer Seddouk.","L'expression 'bghigh l'ambulance' indique un besoin médical (medical_emergency). L'appelant mentionne deux localités (Beni Maouche et Seddouk), l'agent confirme Seddouk à la fin.",False
CALL_0212_Appe,Appelle 66.wav,"Allo salâm 'aleykoum. Salâm. Les pompiers ? Ana3m. ila yiwn ucamion i3ves yiwn wergaz dayi g reyahen, wa7ed Ma3zouzi, l-khedma les pnoux. Ah,dyn ilu3ad, monsieur Maazouzi, dayen, c'est bon. Dakour agma. Sa7it akhouya, sa7a.",medical_emergency,severe,1.0,no,unknown,no,no,report_incident,high,Béjaïa,Béjaïa,ireyahen,"reyahen, wa7ed Ma3zouzi","Un homme signale un accident de la route survenu à El ireyahen, impliquant un certain Maazouzi travaillant pour l'entreprise Iténos. Il demande une intervention rapide.",L'appelant utilise explicitement le mot 'l'accident' et donne une localisation précise 'ireyahen'. Le point de repère est le lieu de travail 'l-khedma n l'iténos' (Entreprise Itenos). Le nom 'Ma3zouzi' est donné pour identifier l'implication. L'expression 's l-khlas' indique une demande d'intervention immédiate.,False
CALL_0212_Appe,Appelle 65.wav,"Allo, salam alaykum. Wa alaykum salam wa rahmatullah. Khoya, l'standard ta3 la protection civile ? La protection civile, in3am. Amaalich ttla3im les pompiers oued amizour, d-ayi n'l'accident n'tmobil d-ayi n... lotissement n'Bouseba3. Asber mon frère, kach l'numéro la3iyasn direkt. Roh marki 034 08 77 14. 034 08 77 14, l'fin 14. Ok ? Saha, change n'garni. Saha.",accident_vehicular,unknown,,unknown,unknown,no,no,report_incident,high,Tichy,Tichy,Bouseba3,"l'virement n'Tichy, lotissement n'Bouseba3",L'appelant signale un accident de voiture au niveau d'un virage à Tichy (Lotissement Bouseba3). L'opérateur lui communique un numéro de téléphone direct pour la station locale.,"L'appelant utilise 'l'accident' et 'tmobil' (véhicule), confirmant un accident de la route. Localisation précise : 'l'virement' (le virage) et 'lotissement Bouseba3' à Tichy. L'opérateur fournit un numéro en 034 (Béjaïa) pour une intervention directe.",False
CALL_0209_Appe,Appelle 35.wav,"Allo, Salamoualikoum. - Walaikoumsalam warahmatu Allah, l'7imaya. - Les pompiers? Nsa3a yiwen yeghli-d dagi n Saint-Tivi n Kherrata. - Yiwen yeghli-d Saint-Tivi n Kherrata? - Ah athaya dagi n Kherrata, yeghlid  Saint-Tivi Kherrata, Souq el-Tnayn. - Aha, amek aqlik gherted Bgayet? - 3eytasen l'ga3naya... athaya yeghli-d yiwen dagi Saint-Tivi ga3naya... slehqasen l'message. - Anwa amkan exactement? Saint-Tivi? - Saint-Tivi n Kherrata, Kherrata Souq el-Tnayn. - Kherrata Souq el-Tnayn, machi tin n Souq el-Tnayn? - Aha! Machi tin n t-darth-at... tin n Kherrata Souq el-Tnayn. - D'accord, saha. - 3ait l'pompiers. - Oui.",medical_emergency,severe,1.0,no,no,no,no,report_incident,high,Kherrata,Kherrata,Saint-Tivi,"Saint-Tivi n Kherrata, Souq el-Tnayn","Un citoyen signale qu'une personne a fait une chute ou s'est effondrée à Saint-Tivi dans la zone de Kherrata, près de Souq el-Tnayn.",L'appelant utilise le verbe 'yeghli-d' (il est tombé/s'est effondré) indiquant une urgence médicale. La localisation est répétée plusieurs fois pour clarifier qu'il s'agit de Saint-Tivi à Kherrata (Souq el-Tnayn) et non d'une autre localité portant le même nom.,False
CALL_0209_Appe,Appelle 16.wav,"Allo? Allo oui, esslam 3likum. Les pompiers Souq El Tenine? Béjaïa, n3amla3nayak ma zemred sentla3id.. l-pompiers Souq El Tenine. ghornagh hanka l'urgence zdat la poste n Souq El Tenine. D'accord, tura senla3igh. Sa7a. D'accord, sa7a.",medical_emergency,unknown,,no,unknown,no,no,report_incident,high,Souk El Tenine,Souk El Tenine,La poste,zdat la poste n Souq El Tenine,L'appelant signale une urgence indéterminée située juste devant la poste de Souk El Tenine et demande l'intervention des pompiers.,"L'appelant utilise 'un cas d'urgence' sans préciser la nature exacte (accident ou malaise), ce qui oriente vers medical_emergency. La localisation est précise : 'zdat la poste' (devant la poste) à Souk El Tenine.",False
CALL_0210_Appe,Appelle 49.wav,"Allo, Pompiers  - Ashershour, dachou i-lan g'Ashershour ? - L'immeuble, l'immeuble ! L'immeuble i-yem7erqen ! Explosion de gaz ! Au quatrième étage ! - A-da g'la route nationale ? - Ti g'la route nationale ! La plage ! En face l'école primaire Mohamed El Mokrani ! - D'accord, d'accord, n'as-as-d. Milieu cité Tobbal ? - En face l'école primaire Mohamed El Mokrani ! Milieu cité Tobbal !",fire_building,unknown,1.0,yes,unknown,no,yes,report_incident,critical,Béjaïa,Béjaïa,Cité Tobbal,"Route nationale, près de la plage, en face l'école primaire Mohamed El Mokrani, au quatrième étage de l'immeuble","Incendie suite à une explosion de gaz au 4ème étage d'un immeuble situé à la Cité Tobbal (Béjaïa), en face de l'école primaire Mohamed El Mokrani.","L'appelant signale une 'explosion de gaz' et précise que 'l'immeuble i-yem7erqen' (l'immeuble brûle), ce qui confirme un incendie de bâtiment (fire_building). L'urgence est maximale vu les cris et la nature de l'incident. La localisation est précise : Cité Tobbal, près de la plage et de l'école Mohamed El Mokrani.",False
